Title,Author,First Published,Publisher,ISBN,Language,Pages,Subjects,Avg Rating,Rating Count,Want to Read,Reading Now,Already Read
Ficciones,Jorge Luis Borges,1945,"Emecé Editores, A.A. Knopf",9780802190734,"fre, spa, por, eng, ita",196,"Anachronisms, speculative fiction, subjective idealism",4.3421054,38,349,20,66
Great Sf Heinlein Bxs,Robert A. Heinlein,1980,Berkley,9780425052167,eng,,"Hugo Award Winner, award:hugo_award=1962, award:hugo_award=novel",3.6470587,68,319,12,95
The Science Fiction Hall of Fame -- Volume One,"Robert Silverberg, Robert A. Heinlein, Arthur C. Clarke, Isaac Asimov, Ray Bradbury",1970,"Avon, Orion Publishing Group, Limited",0722178298,eng,558,"Science fiction, American Science fiction, English Science fiction",4.5,6,107,8,11
Wild seed,Octavia E. Butler,1980,"Open Road Integrated Media, Inc., Doubleday",0575048190,eng,279,"Fiction in English, Fiction, Sex role",4.5454545,11,91,6,20
Smoke and Mirrors,"Neil Gaiman, Richard Chizmar, William Peter Blatty, Kealan Patrick Burke, Brian Keene, Joe Hill, Joe R. Lansdale, Ray Garton",1998,"Headline Publishing Group, Avon Books",9788498388046,"eng, spa",360,"Fantasy, Fiction, Fiction, general",3.75,16,87,0,27
Trigger Warning,Neil Gaiman,2001,"MAG, Salamandra",0062449311,eng,352,"Short stories, Death, Vulnerability (Personality trait)",4.0,15,90,2,23
An introduction to fiction,"Stanton, Robert, R Stanton, R. Stanton, Robert Stanton",1965,"Holt, Rinehart and Winston, Thomson Learning",003920202X,eng,90,"History and criticism, Fiction, Study and teaching",,,88,3,2
Cryptonomicon,Neal Stephenson,1999,"Audible Studios on Brilliance, Avon Press",9780060575489,"fre, spa, eng, ger",864,"Fiction, World War, 1939-1945, World War, 1939-1945 in fiction",4.5151515,33,133,11,52
Hothouse,"Brian W. Aldiss, Brian W. Aldiss",1962,"Faber and Faber, VGSF",0575047356,"pol, eng",253,"evolution, Fiction in English, devolution",4.0,3,47,0,15
Writing Fiction,"Janet Burroway, Susan Weinberg, Elizabeth Stuckey-French, Ned Stuckey-French",1982,"The University of Chicago Press, Longman Higher Education",0316117706,eng,397,"Technique, Fiction, Creative writing",,,60,6,1
The Things They Carried,Tim O'Brien,1990,"Brilliance Audio, Sudamericana",0547420293,"spa, jpn, fre, eng",256,"Reading Level-Grade 9, Reading Level-Grade 11, Reading Level-Grade 10",4.3333335,39,285,20,70
To your scattered bodies go,Philip José Farmer,1971,"SFBC Science Fiction, Panther",9780425050262,"eng, spa",221,"Hugo Award Winner, Fiction in English, award:hugo_award=novel",3.5652175,23,66,1,41
Slan,"A. E. van Vogt, Oliver Wyman, Kevin J. Anderson",1946,"Dell Publishing, Weidenfeld and Nicolson",9780792748946,"eng, spa",191,"Fiction, Science Fiction, Fiction, science fiction, general",3.4,5,45,4,13
The Sympathizer,"Viet Thanh Nguyen, Francois Chau",2015,"Audible Studios on Brilliance, Little, Brown Book Group Limited",9781336217560,eng,384,"Communists, Soldiers, Vietnam War, 1961-1975",4.1,20,123,4,34
Collected Fictions,Jorge Luis Borges,1998,"Penguin, Allen Lane",0142428086,eng,571,"Fiction (fictional works by one author), Borges, jorge luis, 1899-1986, Latin american literature, translations into english",4.3333335,3,25,1,5
Foundation,Isaac Asimov,1951,"Doubleday Bantam, Doubleday Books",8576574837,"ger, eng, kor, spa, chi, ita, por, rus, fre",240,"Psychohistory, Open Library Staff Picks, Life on other planets",4.1070232,299,1385,94,453
The Overstory,"Richard Powers, Richard Powers",2018,"Cengage Gale, CHERCHE MIDI",8491814442,eng,531,"trees, forest, conservation",4.185185,27,213,1,50
How to Write Best-Selling Fiction,Dean Koontz,1981,"Poplar Press, Writer's Digest Books",9780907657002,eng,309,"Authorship, Fiction",5.0,2,54,3,3
What if?,"Anne Bernays, Pamela Painter",1990,"Harper, Longman",9780062700384,eng,256,"Problems, exercises, Rhetoric, Creative writing",,,86,1,1
Funhouse,"Diane Hoh, Karyn O'Bryant",1990,"Heritage, Audible Studios on Brilliance",0590637398,"eng, fre, spa",163,"Mystery and detective stories, Children's poetry, American, Juvenile Riddles",3.0,3,64,0,13
Fragile Things,Neil Gaiman,2006,"AST, HarperAudio",8496791858,"eng, pol, fre, rus, heb",400,"Mystery, Short stories, Fiction",3.75,8,109,6,15
The craft of fiction,"Percy Lubbock, Percy, Lubbock, Percy Lubbock",1921,"Franklin Classics, C. Scribner's Sons",9781015409163,eng,276,"Fiction, Technique, History and criticism",,,13,0,0
The Power,Naomi Alderman,1998,"Roca, Little, Brown and Company",8416859213,"eng, ita",352,"Rol sexual, Fuerza muscular, Ability",3.775,40,128,1,52
Gold,Isaac Asimov,1995,"Sarmal Yayinevi, HarperCollins",9780061054099,"kor, tur, eng, und",368,"American Science fiction, Authorship, Fiction",3.0,3,34,2,7
Leviathan,Paul Auster,1992,"Büchergilde Gutenberg, Viking Penguin Inc",9788433906342,"ger, eng, spa, kor",275,"Fiction, science fiction, general, Littérature américaine, Traductions françaises",3.3333333,6,32,3,10
