,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,latitude,longitude
0,flat,signature global park 4,36,0.82,7586.0,3.0,2.0,2,2.0,New Property,850.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,28.419334,76.988926
1,flat,smart world gems,89,0.95,8597.0,2.0,2.0,2,4.0,New Property,1226.0,1.0,1.0,0.0,0.0,0.0,0.0,38.0,28.418446,76.945757
2,flat,bestech park view sanskruti,92,1.6,8020.0,3.0,4.0,3+,10.0,Relatively New,1615.0,0.0,1.0,0.0,0.0,1.0,1.0,174.0,28.408905,76.915523
3,flat,suncity avenue,102,0.48,9023.0,2.0,2.0,1,5.0,Relatively New,582.0,0.0,0.0,1.0,0.0,0.0,0.0,159.0,28.475487,76.971175
4,flat,experion the heartsong,108,2.0,8554.0,3.0,3.0,3+,14.0,Relatively New,2116.0,0.0,1.0,0.0,0.0,0.0,0.0,95.0,28.512899,76.982361
5,flat,adani m2k oyster grande,102,1.9,9104.0,3.0,4.0,3,8.0,Relatively New,1710.0,0.0,1.0,0.0,0.0,0.0,0.0,165.0,28.475487,76.971175
6,house,independent,105,1.2,10118.0,3.0,2.0,1,2.0,Old Property,1185.51,0.0,0.0,0.0,0.0,0.0,0.0,9.0,28.494313,77.008138
7,house,dlf city phase 1,26,4.5,33333.0,3.0,3.0,2,2.0,Moderately Old,1350.0,1.0,1.0,0.0,0.0,0.0,0.0,70.0,28.477937,77.103242
8,house,independent,109,1.55,6568.0,3.0,2.0,0,1.0,Relatively New,2360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.510921,77.006596
9,flat,dlf regency park,28,1.6,14545.0,2.0,2.0,2,3.0,Relatively New,1222.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,28.47413,77.082572
10,flat,ats tourmaline,109,2.25,8704.0,3.0,4.0,3,14.0,Relatively New,2339.0,0.0,1.0,0.0,0.0,0.0,0.0,101.0,28.510921,77.006596
11,flat,emaar mgf emerald floors premier,65,2.77,14025.0,4.0,4.0,3+,3.0,Relatively New,2194.0,1.0,1.0,0.0,0.0,0.0,2.0,174.0,28.404656,77.069047
12,house,independent,12,1.2,14184.0,2.0,4.0,2,2.0,Relatively New,846.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,28.392411,76.898514
13,flat,bestech park view sanskruti,92,1.55,7568.0,3.0,4.0,3,16.0,Relatively New,1805.0,0.0,1.0,0.0,0.0,0.0,1.0,60.0,28.408905,76.915523
14,flat,ss the leaf,85,1.09,6667.0,2.0,2.0,3,9.0,Relatively New,1638.0,0.0,0.0,1.0,0.0,0.0,0.0,174.0,28.403652,76.953143
15,flat,ss the leaf,85,1.77,7350.0,3.0,4.0,3+,7.0,New Property,2179.0,0.0,0.0,1.0,0.0,0.0,0.0,107.0,28.403652,76.953143
16,flat,afnhb jalvayu vihar,30,0.85,12859.0,2.0,2.0,1,2.0,Old Property,734.0,0.0,0.0,0.0,0.0,1.0,1.0,49.0,28.461624,77.056682
17,flat,m3m woodshire,107,0.9,6589.0,2.0,2.0,3+,10.0,Relatively New,1236.0,0.0,0.0,0.0,0.0,1.0,1.0,49.0,28.506941,76.975214
18,flat,godrej habitat,3,1.2,8310.0,2.0,2.0,3,0.0,Under Construction,1307.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,28.497391,77.020526
19,flat,ansal api celebrity suites,2,0.6,8163.0,1.0,1.0,1,5.0,Moderately Old,665.0,0.0,0.0,0.0,0.0,0.0,1.0,88.0,28.50905,77.034283
20,house,independent,41,9.0,27778.0,8.0,5.0,3+,3.0,Old Property,3240.0,0.0,1.0,1.0,1.0,0.0,1.0,26.0,28.456919,77.064605
21,house,independent,41,7.0,28283.0,7.0,7.0,3+,3.0,Moderately Old,2475.0,1.0,1.0,1.0,1.0,0.0,2.0,151.0,28.456919,77.064605
22,flat,chanderlok society,28,0.9,7235.0,4.0,2.0,3+,1.0,Old Property,1382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.47413,77.082572
23,house,independent,4,0.4,8889.0,1.0,1.0,0,1.0,Moderately Old,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.475006,77.010353
24,house,international city by sobha phase 2,109,5.65,10463.0,4.0,4.0,3+,2.0,New Property,5400.0,0.0,1.0,0.0,0.0,1.0,1.0,44.0,28.510921,77.006596
25,flat,emaar digihomes,62,2.15,14257.0,2.0,2.0,3,31.0,Under Construction,1676.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,28.407697,77.082378
26,house,uppal southend,49,4.4,15278.0,6.0,6.0,3,3.0,Moderately Old,2880.0,1.0,1.0,1.0,1.0,0.0,2.0,110.0,28.412885,77.049836
27,flat,vipul lavanya,81,0.64,5263.0,2.0,2.0,3,12.0,Relatively New,1361.0,0.0,0.0,0.0,0.0,0.0,1.0,93.0,28.387365,76.947583
28,flat,m3m heights,65,2.86,13999.0,3.0,3.0,3,45.0,Under Construction,2267.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,28.404656,77.069047
29,flat,emaar mgf the palm drive,66,3.5,15909.0,3.0,3.0,3,7.0,Moderately Old,2125.0,0.0,1.0,1.0,0.0,0.0,1.0,149.0,28.397429,77.053882
30,house,greenopolis,89,0.7,5397.0,2.0,2.0,2,14.0,New Property,1297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.418446,76.945757
31,flat,dlf the skycourt,86,1.54,9222.0,3.0,3.0,3+,15.0,Relatively New,1780.0,0.0,1.0,0.0,0.0,0.0,0.0,174.0,28.398121,76.941126
32,house,vipul tatvam villa,48,8.25,38194.0,4.0,4.0,3+,3.0,Relatively New,2160.0,0.0,1.0,1.0,0.0,0.0,1.0,160.0,28.41049,77.039463
33,house,international city by sobha phase 1,109,6.1,25103.0,5.0,6.0,3+,2.0,Moderately Old,2430.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,28.510921,77.006596
34,flat,the arzoo cghs,51,2.1,9130.0,4.0,4.0,3,1.0,Relatively New,2300.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,28.428701,77.066688
35,flat,corona optus,37,1.25,7176.0,3.0,3.0,3,2.0,Relatively New,1563.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,28.434268,76.999294
36,flat,lotus homz,111,0.7,10057.0,2.0,2.0,2,8.0,Relatively New,773.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,28.522277,77.03362
37,flat,m3m merlin,67,2.8,13679.0,3.0,3.0,3,5.0,Moderately Old,2047.0,0.0,1.0,0.0,0.0,0.0,2.0,26.0,28.386405,77.059805
38,house,housing board colony,28,5.5,30556.0,4.0,3.0,3,2.0,Old Property,1800.0,0.0,0.0,0.0,1.0,1.0,1.0,22.0,28.47413,77.082572
39,flat,puri diplomatic greens,111,2.58,11727.0,3.0,4.0,2,10.0,Moderately Old,2200.0,0.0,1.0,0.0,0.0,0.0,0.0,86.0,28.522277,77.03362
40,flat,la vida by tata housing,113,3.0,14286.0,3.0,3.0,3+,3.0,Relatively New,2460.0,0.0,1.0,0.0,0.0,0.0,0.0,167.0,28.528665,77.025028
41,house,ganpati heights apartment,13,1.25,12077.0,3.0,6.0,2,3.0,Old Property,115.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,28.4746,77.036719
42,flat,smart world orchard,61,2.1,13752.0,3.0,2.0,3,3.0,Under Construction,1534.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,28.411019,77.096368
43,flat,tata gurgaon gateway,113,2.45,10788.0,3.0,3.0,3,8.0,Relatively New,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,28.528665,77.025028
44,flat,tulip violet,69,1.38,8973.0,3.0,3.0,1,12.0,Relatively New,1709.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,28.39607,77.037231
45,flat,smart world gems,89,1.71,12000.0,3.0,2.0,0,3.0,New Property,1423.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,28.418446,76.945757
46,flat,vatika the seven lamps,82,0.81,6193.0,2.0,2.0,2,15.0,Relatively New,1176.0,0.0,0.0,0.0,0.0,0.0,1.0,117.0,28.393108,76.958876
47,flat,tulip monsella,53,5.6,19364.0,3.0,3.0,3+,1.0,Under Construction,2617.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,28.441519,77.096805
48,flat,m3m skywalk,74,1.5,12500.0,2.0,2.0,3,17.0,Relatively New,1300.0,0.0,0.0,1.0,0.0,0.0,0.0,174.0,28.411276,77.010669
49,flat,experion the heartsong,108,1.65,8238.0,3.0,4.0,3,3.0,Moderately Old,1771.32,1.0,0.0,0.0,0.0,0.0,1.0,75.0,28.512899,76.982361
50,flat,huda housing board society,52,0.45,9740.0,1.0,1.0,0,0.0,Moderately Old,513.0,0.0,0.0,0.0,1.0,0.0,1.0,43.0,28.436817,77.079528
51,flat,shri balaji apartment,12,0.35,4037.0,2.0,2.0,1,1.0,Moderately Old,737.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,28.392411,76.898514
52,house,independent,43,5.75,23663.0,4.0,4.0,2,4.0,Under Construction,2430.0,0.0,1.0,1.0,0.0,0.0,2.0,153.0,28.454874,77.085886
53,flat,ss the leaf,85,1.12,6452.0,2.0,2.0,3,10.0,Relatively New,1485.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,28.403652,76.953143
