sector,query_used,latitude,longitude,display_name,status
1,"Sector 1, Gurugram, Haryana, India",28.360102,76.948375,"Sector 1, Manesar, Gurugram, Haryana, India",found
2,"Sector 2, Gurugram, Haryana, India",28.50905,77.034283,"Sector 2, Gurgaon, Gurugram, Haryana, India",found
3,"Sector 3, Gurugram, Haryana, India",28.497391,77.020526,"Sector 3, Gurgaon, Gurugram, Haryana, India",found
4,"Sector 4, Gurugram, Haryana, India",28.475006,77.010353,"Sector 4, Gurgaon, Gurugram, Haryana, 120001, India",found
5,"Sector 5, Gurugram, Haryana, India",28.367354,76.926724,"Sector 5, Manesar, Gurugram, Haryana, 122050, India",found
6,"Sector 6, Gurugram, Haryana, India",28.475326,77.025828,"Sector 6, Gurgaon, Gurugram, Haryana, India",found
7,"Sector 7, Gurugram, Haryana, India",28.466257,77.014265,"Sector 7, Gurgaon, Gurugram, Haryana, India",found
8,"Sector 8, Gurugram, Haryana, India",28.459897,77.019804,"Sector 8, Gurgaon, Gurugram, Haryana, India",found
9,"Sector 9, Gurugram, Haryana, India",28.384099,76.886134,"Sector 9, Manesar, Gurgaon, Gurugram, Haryana, India",found
10,"Sector 10, Gurugram, Haryana, India",28.444581,77.006023,"Sector 10, Gurgaon, Gurugram, Haryana, India",found
11,"Sector 11, Gurugram, Haryana, India",28.378143,76.875377,"Sector 11, Manesar, Gurgaon, Gurugram, Haryana, India",found
12,"Sector 12, Gurugram, Haryana, India",28.392411,76.898514,"Sector 12, Manesar, Gurgaon, Gurugram, Haryana, India",found
13,"Sector 13, Gurugram, Haryana, India",28.4746,77.036719,"Sector 13, Gurgaon, Gurugram, Haryana, India",found
14,"Sector 14, Gurugram, Haryana, India",28.473784,77.047183,"Sector 14, Gurgaon, Gurugram, Haryana, 122001, India",found
15,"Sector 15, Gurugram, Haryana, India",28.38432,76.912233,"Sector 15, Manesar, Gurgaon, Gurugram, Haryana, India",found
16,"Sector 16, Gurugram, Haryana, India",28.467613,77.05108,"Sector 16, Gurgaon, Gurugram, Haryana, India",found
17,"Sector 17, Gurugram, Haryana, India",28.475804,77.060777,"Sector 17, Gurgaon, Gurugram, Haryana, 122007, India",found
18,"Sector 18, Gurugram, Haryana, India",28.491345,77.071026,"Sector 18, Gurgaon, Gurugram, Haryana, India",found
19,"Sector 19, Gurugram, Haryana, India",28.503091,77.081748,"Sector 19, Gurgaon, Gurugram, Haryana, 122016, India",found
20,"Sector 20, Gurugram, Haryana, India",28.508496,77.087939,"Sector 20, Gurgaon, Gurugram, Haryana, India",found
21,"Sector 21, Gurugram, Haryana, India",28.514363,77.073009,"Sector 21, Gurgaon, Gurugram, Haryana, India",found
22,"Sector 22, Gurugram, Haryana, India",28.506318,77.065518,"Sector 22, Gurgaon, Gurugram, Haryana, India",found
23,"Sector 23, Gurugram, Haryana, India",28.510319,77.053009,"Sector 23, Gurgaon, Gurugram, Haryana, India",found
24,"Sector 24, Gurugram, Haryana, India",28.494481,77.101304,"Sector 24, Gurgaon, Gurugram, Haryana, 122010, India",found
25,"Sector 25, Gurugram, Haryana, India",28.486089,77.084224,"Sector 25, Gurgaon, Gurugram, Haryana, India",found
26,"Sector 26, Gurugram, Haryana, India",28.477937,77.103242,"Sector 26, Gurgaon, Gurugram, Haryana, India",found
27,"Sector 27, Gurugram, Haryana, India",28.464657,77.083951,"Sector 27, Gurgaon, Gurugram, Haryana, 122009, India",found
28,"Sector 28, Gurugram, Haryana, India",28.47413,77.082572,"Sector 28, Gurgaon, Gurugram, Haryana, India",found
29,"Sector 29, Gurugram, Haryana, India",28.46692,77.067131,"Sector 29, Gurgaon, Gurugram, Haryana, 122022, India",found
30,"Sector 30, Gurugram, Haryana, India",28.461624,77.056682,"Sector 30, Gurgaon, Gurugram, Haryana, India",found
31,"Sector 31, Gurugram, Haryana, India",28.454004,77.049718,"Sector 31, Gurgaon, Gurugram, Haryana, India",found
32,"Sector 32, Gurugram, Haryana, India",28.445804,77.041317,"Sector 32, Gurgaon, Gurugram, Haryana, India",found
33,"Sector 33, Gurugram, Haryana, India",28.438478,77.025165,"Sector 33, Gurgaon, Gurugram, Haryana, 110058, India",found
34,"Sector 34, Gurugram, Haryana, India",28.428003,77.011568,"Sector 34, Gurgaon, Gurugram, Haryana, India",found
35,"Sector 35, Gurugram, Haryana, India",28.414567,77.001869,"Sector 35, Gurgaon, Gurugram, Haryana, 122004, India",found
36,"Sector 36, Gurugram, Haryana, India",28.419334,76.988926,"Sector 36, Gurgaon, Gurugram, Haryana, India",found
37,"Sector 37, Gurugram, Haryana, India",28.434268,76.999294,"Sector 37, Gurgaon, Gurugram, Haryana, India",found
38,"Sector 38, Gurugram, Haryana, India",28.435142,77.040354,"Sector 38, Gurgaon, Gurugram, Haryana, India",found
39,"Sector 39, Gurugram, Haryana, India",28.442367,77.050472,"Sector 39, Gurgaon, Gurugram, Haryana, India",found
40,"Sector 40, Gurugram, Haryana, India",28.450043,77.057709,"Sector 40, Gurgaon, Gurugram, Haryana, India",found
41,"Sector 41, Gurugram, Haryana, India",28.456919,77.064605,"Sector 41, Gurgaon, Gurugram, Haryana, 122012, India",found
42,"Sector 42, Gurugram, Haryana, India",28.455897,77.108476,"Sector 42, Gurgaon, Gurugram, Haryana, India",found
43,"Sector 43, Gurugram, Haryana, India",28.454874,77.085886,"Sector 43, Gurgaon, Gurugram, Haryana, India",found
44,"Sector 44, Gurugram, Haryana, India",28.450706,77.073828,"Sector 44, Gurgaon, Gurugram, Haryana, India",found
45,"Sector 45, Gurugram, Haryana, India",28.4449,77.066355,"Sector 45, Gurgaon, Gurugram, Haryana, India",found
46,"Sector 46, Gurugram, Haryana, India",28.435913,77.058404,"Sector 46, Gurgaon, Gurugram, Haryana, India",found
47,"Sector 47, Gurugram, Haryana, India",28.425157,77.047513,"Sector 47, Gurgaon, Gurugram, Haryana, India",found
48,"Sector 48, Gurugram, Haryana, India",28.41049,77.039463,"Sector 48, South End, Gurgaon, Gurugram, Haryana, 122018, India",found
49,"Sector 49, Gurugram, Haryana, India",28.412885,77.049836,"Sector 49, Gurgaon, Gurugram, Haryana, India",found
50,"Sector 50, Gurugram, Haryana, India",28.416654,77.061175,"Sector 50, Gurgaon, Gurugram, Haryana, 122018, India",found
51,"Sector 51, Gurugram, Haryana, India",28.428701,77.066688,"Sector 51, Gurgaon, Gurugram, Haryana, India",found
52,"Sector 52, Gurugram, Haryana, India",28.436817,77.079528,"Sector 52, Gurgaon, Gurugram, Haryana, India",found
53,"Sector 53, Gurugram, Haryana, India",28.441519,77.096805,"Sector 53, Gurgaon, Gurugram, Haryana, India",found
54,"Sector 54, Gurugram, Haryana, India",28.442106,77.111265,"Sector 54, Gurgaon, Gurugram, Haryana, India",found
55,"Sector 55, Gurugram, Haryana, India",28.427417,77.109754,"Sector 55, Sohna, Gurugram, Haryana, India",found
56,"Sector 56, Gurugram, Haryana, India",28.425323,77.098516,"Sector 56, Gurgaon, Gurugram, Haryana, 122011, India",found
57,"Sector 57, Gurugram, Haryana, India",28.423248,77.080449,"Sector 57, Gurgaon, Gurugram, Haryana, India",found
58,"Sector 58, Gurugram, Haryana, India",28.416001,77.108556,"Sector 58, Sohna, Gurugram, Haryana, India",found
59,"Sector 59, Gurugram, Haryana, India",28.403016,77.106668,"Sector 59, Ireo City, Sohna, Gurugram, Haryana, 122011, India",found
60,"Sector 60, Gurugram, Haryana, India",28.398562,77.097828,"Sector 60, Sohna, Gurugram, Haryana, 122008, India",found
61,"Sector 61, Gurugram, Haryana, India",28.411019,77.096368,"Sector 61, Ireo City, Sohna, Gurugram, Haryana, 122011, India",found
62,"Sector 62, Gurugram, Haryana, India",28.407697,77.082378,"Sector 62, Gurgaon, Gurugram, Haryana, India",found
63,"Sector 63, Gurugram, Haryana, India",28.396448,77.086498,"Sector 63, Sohna, Gurugram, Haryana, 122008, India",found
64,"Sector 64, Gurugram, Haryana, India",28.391464,77.076198,"Sector 64, Gurgaon, Gurugram, Haryana, 122008, India",found
65,"Sector 65, Gurugram, Haryana, India",28.404656,77.069047,"Sector 65, Gurgaon, Gurugram, Haryana, India",found
66,"Sector 66, Gurugram, Haryana, India",28.397429,77.053882,"Sector 66, Gurgaon, Gurugram, Haryana, 122101, India",found
67,"Sector 67, Gurugram, Haryana, India",28.386405,77.059805,"Sector 67, Esencia, Gurgaon, Gurugram, Haryana, 122008, India",found
68,"Sector 68, Gurugram, Haryana, India",28.388897,77.045986,"Sector 68, Gurgaon, Gurugram, Haryana, 122101, India",found
69,"Sector 69, Gurugram, Haryana, India",28.39607,77.037231,"Sector 69, Gurgaon, Gurugram, Haryana, 122101, India",found
70,"Sector 70, Gurugram, Haryana, India",28.394726,77.022314,"Sector 70, Gurgaon, Gurugram, Haryana, 122004, India",found
71,"Sector 71, Gurugram, Haryana, India",28.406456,77.023313,"Sector 71, Gurgaon, Gurugram, Haryana, India",found
72,"Sector 72, Gurugram, Haryana, India",28.415926,77.029077,"Sector 72, Gurgaon, Gurugram, Haryana, India",found
73,"Sector 73, Gurugram, Haryana, India",28.408808,77.016169,"Sector 73, Gurgaon, Gurugram, Haryana, 122004, India",found
74,"Sector 74, Gurugram, Haryana, India",28.411276,77.010669,"Sector 74, Gurgaon, Gurugram, Haryana, India",found
75,"Sector 75, Gurugram, Haryana, India",28.396448,77.00659,"Sector 75, Gurgaon, Gurugram, Haryana, 122004, India",found
76,"Sector 76, Gurugram, Haryana, India",28.391011,76.990024,"Sector 76, Gurgaon, Gurugram, Haryana, 122004, India",found
77,"Sector 77, Gurugram, Haryana, India",28.383234,76.982557,"Sector 77, Manesar, Gurugram, Haryana, 122004, India",found
78,"Sector 78, Gurugram, Haryana, India",28.372528,76.970296,"Sector 78, Manesar, Gurugram, Haryana, India",found
79,"Sector 79, Gurugram, Haryana, India",28.408229,76.963025,"Sector 84, Gurgaon, Gurugram, Haryana, India",found
